participant_id,video_id,question_index,selected_index,response_time
1,kisi1video1,0,2,1.44
1,kisi1video1,1,3,1.93
1,kisi2video1,0,3,1.5
1,kisi2video1,1,3,0.07
1,kisi3video1,0,3,2.06
1,kisi3video1,1,2,1.99
1,kisi4video1,0,3,1.31
1,kisi4video1,1,1,2.72
1,kisi1video2,0,1,1.68
1,kisi1video2,1,4,3.48
1,kisi2video2,0,1,1.45
1,kisi2video2,1,2,1.96
1,kisi3video2,0,5,2.85
1,kisi3video2,1,1,1.8
1,kisi4video2,0,2,2.37
1,kisi4video2,1,1,1.2
1,kisi1video3,0,3,1.66
1,kisi1video3,1,2,3.87
1,kisi2video3,0,5,1.98
1,kisi2video3,1,2,2.18
1,kisi3video3,0,3,2.6
1,kisi3video3,1,2,1.77
1,kisi4video3,0,5,1.81
1,kisi4video3,1,2,1.58
1,kisi1video4,0,4,2.28
1,kisi1video4,1,2,2.35
1,kisi2video4,0,2,1.93
1,kisi2video4,1,3,2.05
1,kisi3video4,0,2,1.52
1,kisi3video4,1,1,3.02
1,kisi4video4,0,6,1.47
1,kisi4video4,1,2,2.65
1,kisi1video5,0,5,1.39
1,kisi1video5,1,2,1.59
1,kisi2video5,0,6,1.87
1,kisi2video5,1,2,1.02
1,kisi3video5,0,1,1.24
1,kisi3video5,1,3,1.15
1,kisi4video5,0,5,1.86
1,kisi4video5,1,2,1.52
1,kisi1video6,0,6,1.19
1,kisi1video6,1,3,1.94
1,kisi2video6,0,4,1.73
1,kisi2video6,1,3,1.48
1,kisi3video6,0,4,1.33
1,kisi3video6,1,3,1.12
1,kisi4video6,0,1,1.58
1,kisi4video6,1,2,3.2
