participant_id,question_index,question,answer_index,answer,response_time
1,1,Duygularımı başkalarına ifade etmem.,3,Bazen,3.45
1,2,Güçlü duygular yaşadığımda bile bunları dışarıya yansıtmam.,4,Sıklıkla,4.49
1,3,Başkaları benim çok duygusal olduğumu düşünür.,2,Nadiren,3.48
1,4,"İnsanlar benim duygularımı ""okuyabilir"".",2,Nadiren,2.63
1,5,Duygularımı kendime saklarım.,4,Sıklıkla,2.2
1,6,Başkaları benim ne hissettiğimi kolayca gözlemleyemez.,2,Nadiren,2.67
1,7,Duygularımı diğer insanlara gösteririm.,2,Nadiren,2.3
1,8,İnsanlar beni duygusuz biri olarak görür.,3,Bazen,4.59
1,9,İnsanların benim ne hissettiğimi anlamasından hoşlanmam.,5,Çoğu zaman,3.29
1,10,Hissettiklerimi saklayamam.,3,Bazen,3.3
1,11,Duygularımı ifade eden biri değilim.,4,Sıklıkla,2.09
1,12,Başkaları tarafından çoğu zaman kayıtsız olarak değerlendirilirim.,2,Nadiren,4.17
1,13,Başkalarının önünde ağlayabilirim.,2,Nadiren,2.06
1,14,Çok duygusal hissetsem bile başkalarının duygularımı görmesine izin vermem.,5,Çoğu zaman,3.68
1,15,Kendimi duygularını ifade eden biri olarak görürüm.,2,Nadiren,3.41
1,16,"Benim hissettiklerim, başkalarının benim ne hissettiğimi düşündüklerinden farklı.",5,Çoğu zaman,3.43
1,17,Duygularımı içimde tutarım.,5,Çoğu zaman,1.62
2,1,Duygularımı başkalarına ifade etmem.,3,Bazen,3.94
2,2,Güçlü duygular yaşadığımda bile bunları dışarıya yansıtmam.,4,Sıklıkla,2.42
2,3,Başkaları benim çok duygusal olduğumu düşünür.,2,Nadiren,2.58
2,4,"İnsanlar benim duygularımı ""okuyabilir"".",2,Nadiren,3.22
2,5,Duygularımı kendime saklarım.,5,Çoğu zaman,2.24
2,6,Başkaları benim ne hissettiğimi kolayca gözlemleyemez.,4,Sıklıkla,2.53
2,7,Duygularımı diğer insanlara gösteririm.,2,Nadiren,2.58
2,8,İnsanlar beni duygusuz biri olarak görür.,4,Sıklıkla,2.87
2,9,İnsanların benim ne hissettiğimi anlamasından hoşlanmam.,5,Çoğu zaman,3.12
2,10,Hissettiklerimi saklayamam.,1,Asla,2.16
2,11,Duygularımı ifade eden biri değilim.,5,Çoğu zaman,2.6
2,12,Başkaları tarafından çoğu zaman kayıtsız olarak değerlendirilirim.,5,Çoğu zaman,2.79
2,13,Başkalarının önünde ağlayabilirim.,2,Nadiren,2.01
2,14,Çok duygusal hissetsem bile başkalarının duygularımı görmesine izin vermem.,3,Bazen,4.49
2,15,Kendimi duygularını ifade eden biri olarak görürüm.,2,Nadiren,8.0
2,16,"Benim hissettiklerim, başkalarının benim ne hissettiğimi düşündüklerinden farklı.",5,Çoğu zaman,4.03
2,17,Duygularımı içimde tutarım.,5,Çoğu zaman,2.17
3,1,Duygularımı başkalarına ifade etmem.,2,Nadiren,13.39
3,2,Güçlü duygular yaşadığımda bile bunları dışarıya yansıtmam.,4,Sıklıkla,21.17
3,3,Başkaları benim çok duygusal olduğumu düşünür.,5,Çoğu zaman,10.42
3,4,"İnsanlar benim duygularımı ""okuyabilir"".",5,Çoğu zaman,4.81
3,5,Duygularımı kendime saklarım.,3,Bazen,6.26
3,6,Başkaları benim ne hissettiğimi kolayca gözlemleyemez.,3,Bazen,29.09
3,7,Duygularımı diğer insanlara gösteririm.,5,Çoğu zaman,7.27
3,8,İnsanlar beni duygusuz biri olarak görür.,2,Nadiren,9.11
3,9,İnsanların benim ne hissettiğimi anlamasından hoşlanmam.,4,Sıklıkla,12.73
3,10,Hissettiklerimi saklayamam.,4,Sıklıkla,6.16
3,11,Duygularımı ifade eden biri değilim.,4,Sıklıkla,5.46
3,12,Başkaları tarafından çoğu zaman kayıtsız olarak değerlendirilirim.,2,Nadiren,30.68
3,13,Başkalarının önünde ağlayabilirim.,1,Asla,5.62
3,14,Çok duygusal hissetsem bile başkalarının duygularımı görmesine izin vermem.,3,Bazen,11.0
3,15,Kendimi duygularını ifade eden biri olarak görürüm.,4,Sıklıkla,6.1
3,16,"Benim hissettiklerim, başkalarının benim ne hissettiğimi düşündüklerinden farklı.",3,Bazen,7.61
3,17,Duygularımı içimde tutarım.,3,Bazen,14.68
