video_id,region,gaze_count,total_duration,percentage,rank
kisi1video1,left_cheek,151,4.98,24.88,1
kisi1video1,right_cheek,120,3.96,19.77,2
kisi1video1,nose,119,3.93,19.6,3
kisi1video1,mouth,84,2.77,13.84,4
kisi1video1,right_eye,29,0.96,4.78,5
kisi1video1,chin,16,0.53,2.64,6
kisi1video1,left_eye,10,0.33,1.65,7
kisi1video2,nose,119,3.93,27.61,1
kisi1video2,mouth,82,2.71,19.03,2
kisi1video2,left_cheek,80,2.64,18.56,3
kisi1video2,right_cheek,67,2.21,15.55,4
kisi1video2,chin,25,0.83,5.8,5
kisi1video2,left_eye,1,0.03,0.23,6
kisi1video3,mouth,59,1.95,21.77,1
kisi1video3,chin,54,1.78,19.93,2
kisi1video3,right_cheek,47,1.55,17.34,3
kisi1video3,nose,31,1.02,11.44,4
kisi1video3,left_cheek,22,0.73,8.12,5
kisi1video3,forehead,3,0.1,1.11,6
kisi1video3,left_eye,2,0.07,0.74,7
kisi1video3,right_eye,2,0.07,0.74,7
kisi1video4,mouth,96,3.17,34.78,1
kisi1video4,nose,83,2.74,30.07,2
kisi1video4,chin,39,1.29,14.13,3
kisi1video4,right_cheek,38,1.25,13.77,4
kisi1video4,left_cheek,7,0.23,2.54,5
kisi1video5,mouth,81,2.67,29.35,1
kisi1video5,left_cheek,72,2.38,26.09,2
kisi1video5,right_cheek,52,1.72,18.84,3
kisi1video5,nose,42,1.39,15.22,4
kisi1video6,mouth,60,1.98,21.35,1
kisi1video6,right_cheek,49,1.62,17.44,2
kisi1video6,left_cheek,38,1.25,13.52,3
kisi1video6,forehead,34,1.12,12.1,4
kisi1video6,nose,23,0.76,8.19,5
kisi1video6,left_eye,9,0.3,3.2,6
kisi1video6,right_eye,8,0.26,2.85,7
kisi2video1,chin,108,3.56,25.35,1
kisi2video1,unknown,45,1.49,10.56,2
kisi2video1,nose,25,0.83,5.87,3
kisi2video1,right_eye,15,0.49,3.52,4
kisi2video1,mouth,12,0.4,2.82,5
kisi2video1,left_eye,9,0.3,2.11,6
kisi2video1,left_cheek,8,0.26,1.88,7
kisi2video1,right_cheek,1,0.03,0.23,8
kisi2video2,chin,127,4.19,29.95,1
kisi2video2,nose,37,1.22,8.73,2
kisi2video2,right_cheek,30,0.99,7.08,3
kisi2video2,left_eye,17,0.56,4.01,4
kisi2video2,unknown,17,0.56,4.01,4
kisi2video2,right_eye,15,0.49,3.54,6
kisi2video2,left_cheek,4,0.13,0.94,7
kisi2video3,left_cheek,31,1.02,10.88,1
kisi2video3,chin,26,0.86,9.12,2
kisi2video3,left_eye,25,0.83,8.77,3
kisi2video3,nose,24,0.79,8.42,4
kisi2video3,right_cheek,21,0.69,7.37,5
kisi2video3,right_eye,4,0.13,1.4,6
kisi2video4,nose,41,1.35,12.39,1
kisi2video4,left_cheek,33,1.09,9.97,2
kisi2video4,left_eye,24,0.79,7.25,3
kisi2video4,right_eye,20,0.66,6.04,4
kisi2video4,mouth,11,0.36,3.32,5
kisi2video4,chin,8,0.26,2.42,6
kisi2video4,forehead,4,0.13,1.21,7
kisi2video5,nose,43,1.42,13.96,1
kisi2video5,right_eye,35,1.16,11.36,2
kisi2video5,left_cheek,19,0.63,6.17,3
kisi2video5,mouth,11,0.36,3.57,4
kisi2video5,left_eye,10,0.33,3.25,5
kisi2video5,right_cheek,2,0.07,0.65,6
kisi2video6,nose,58,1.91,18.71,1
kisi2video6,left_cheek,19,0.63,6.13,2
kisi2video6,right_cheek,17,0.56,5.48,3
kisi2video6,unknown,15,0.49,4.84,4
kisi2video6,mouth,12,0.4,3.87,5
kisi2video6,right_eye,7,0.23,2.26,6
kisi2video6,left_eye,2,0.07,0.65,7
kisi3video1,chin,124,4.09,27.49,1
kisi3video1,left_cheek,72,2.38,15.96,2
kisi3video1,nose,40,1.32,8.87,3
kisi3video1,right_eye,24,0.79,5.32,4
kisi3video1,left_eye,13,0.43,2.88,5
kisi3video1,right_cheek,7,0.23,1.55,6
kisi3video2,chin,140,4.62,46.2,1
kisi3video2,nose,49,1.62,16.17,2
kisi3video2,left_cheek,25,0.83,8.25,3
kisi3video2,right_eye,16,0.53,5.28,4
kisi3video2,left_eye,14,0.46,4.62,5
kisi3video2,right_cheek,9,0.3,2.97,6
kisi3video3,chin,114,3.76,41.16,1
kisi3video3,right_eye,35,1.16,12.64,2
kisi3video3,left_eye,28,0.92,10.11,3
kisi3video3,left_cheek,23,0.76,8.3,4
kisi3video3,nose,20,0.66,7.22,5
kisi3video3,right_cheek,1,0.03,0.36,6
kisi3video4,chin,135,4.46,45.76,1
kisi3video4,right_cheek,42,1.39,14.24,2
kisi3video4,nose,40,1.32,13.56,3
kisi3video4,left_cheek,11,0.36,3.73,4
kisi3video4,right_eye,10,0.33,3.39,5
kisi3video5,chin,137,4.52,48.58,1
kisi3video5,nose,66,2.18,23.4,2
kisi3video5,right_cheek,25,0.83,8.87,3
kisi3video5,left_cheek,10,0.33,3.55,4
kisi3video6,chin,112,3.7,40.58,1
kisi3video6,left_cheek,12,0.4,4.35,2
kisi3video6,nose,11,0.36,3.99,3
kisi3video6,left_eye,7,0.23,2.54,4
kisi4video1,chin,161,5.31,29.38,1
kisi4video1,nose,72,2.38,13.14,2
kisi4video1,right_eye,26,0.86,4.74,3
